ID,Nom,Secteur,SecteurCode,Adresse,CodePostal,Ville,Pays,Telephone,Email,TVA,IBAN,BIC,LogoPath
SOC011,Pâtisserie Centrale,Bakery,bakery,8 Street des Artisans,4000,Liege,Belgium,+32 588 473 55 51,contact@ptisserie-centrale.be,BE0943344989,BE76 1478 3896 1337,GEBABEBB,assets/logos/societe_soc011.svg
SOC012,Boulange & Co,Bakery,bakery,42 Highway de Mons,5000,Namur,Belgium,+32 842 907 12 91,contact@boulange--co.be,BE0105557534,BE47 8824 3608 7842,GKCCBEBB,assets/logos/societe_soc012.svg
SOC013,Menuiserie Bois,Carpentry,carpentry,39 Street du Commerce,7000,Mons,Belgium,+32 387 162 43 68,contact@menuiserie-bois.be,BE0601648406,BE45 9556 8059 9970,BBRUBEBB,assets/logos/societe_soc013.svg
SOC014,Ébénisterie Art,Carpentry,carpentry,29 Avenue de la Liberté,7500,Tournai,Belgium,+32 208 516 33 26,contact@bnisterie-art.be,BE0718435125,BE25 6782 3382 7100,BBRUBEBB,assets/logos/societe_soc014.svg
SOC015,Charpente Pro,Carpentry,carpentry,27 Boulevard Industriel,4800,Verviers,Belgium,+32 660 415 44 43,contact@charpente-pro.be,BE0754391128,BE82 7561 6384 6724,GEBABEBB,assets/logos/societe_soc015.svg
SOC016,Bois & Déco,Carpentry,carpentry,137 Square du Marché,8500,Kortrijk,Belgium,+32 572 716 50 28,contact@bois--dco.be,BE0580146617,BE27 3657 5733 8838,BBRUBEBB,assets/logos/societe_soc016.svg
SOC017,Menuiserie Moderne,Carpentry,carpentry,150 Street des Artisans,8400,Ostend,Belgium,+32 951 892 58 36,contact@menuiserie-moderne.be,BE0318918310,BE65 8149 4915 1673,GKCCBEBB,assets/logos/societe_soc017.svg
SOC018,Atelier du Bois,Carpentry,carpentry,30 Highway de Mons,3000,Leuven,Belgium,+32 578 557 62 89,contact@atelier-du-bois.be,BE0317676219,BE36 2930 6764 9119,GKCCBEBB,assets/logos/societe_soc018.svg
SOC019,NetPro Services,Cleaning,cleaning,90 Street du Commerce,1000,Brussels,Belgium,+32 663 745 69 61,contact@netpro-services.be,BE0843259803,BE28 9441 8485 6504,BBRUBEBB,assets/logos/societe_soc019.svg
SOC020,Clean Express,Cleaning,cleaning,71 Avenue de la Liberté,2000,Antwerp,Belgium,+32 143 345 89 99,contact@clean-express.be,BE0922830807,BE63 6073 6853 4867,GKCCBEBB,assets/logos/societe_soc020.svg
SOC021,Propreté Plus,Cleaning,cleaning,139 Boulevard Industriel,9000,Ghent,Belgium,+32 588 238 67 52,contact@propret-plus.be,BE0485391194,BE47 6873 5578 4132,GKCCBEBB,assets/logos/societe_soc021.svg
SOC022,Ménage Pro,Cleaning,cleaning,141 Square du Marché,4000,Liege,Belgium,+32 664 476 95 70,contact@mnage-pro.be,BE0164960561,BE78 2047 9870 8850,GKCCBEBB,assets/logos/societe_soc022.svg
SOC023,Nettoyage 2000,Cleaning,cleaning,43 Street des Artisans,5000,Namur,Belgium,+32 716 893 60 20,contact@nettoyage-2000.be,BE0735332298,BE34 3548 4828 7188,BBRUBEBB,assets/logos/societe_soc023.svg
SOC024,Éclat & Propreté,Cleaning,cleaning,28 Highway de Mons,6000,Charleroi,Belgium,+32 362 895 58 87,contact@clat--propret.be,BE0296707833,BE83 3613 7473 9731,BBRUBEBB,assets/logos/societe_soc024.svg
SOC025,Bâtisseurs Pro,Construction,construction,72 Street du Commerce,7000,Mons,Belgium,+32 961 590 87 30,contact@btisseurs-pro.be,BE0790077046,BE20 3236 6128 6853,GEBABEBB,assets/logos/societe_soc025.svg
SOC026,Construction Moderne,Construction,construction,122 Avenue de la Liberté,6000,Charleroi,Belgium,+32 536 116 82 31,contact@construction-moderne.be,BE0173105229,BE49 6082 1192 6136,GEBABEBB,assets/logos/societe_soc026.svg
SOC027,Maçonnerie Centrale,Construction,construction,102 Boulevard Industriel,7500,Tournai,Belgium,+32 627 645 84 37,contact@maonnerie-centrale.be,BE0418557754,BE43 3273 7020 1905,BBRUBEBB,assets/logos/societe_soc027.svg
SOC028,Béton Armé,Construction,construction,83 Square du Marché,4800,Verviers,Belgium,+32 166 387 22 39,contact@bton-arm.be,BE0601463426,BE19 1138 1083 8496,GKCCBEBB,assets/logos/societe_soc028.svg
SOC029,Gros Œuvre,Construction,construction,71 Street des Artisans,8500,Kortrijk,Belgium,+32 636 243 42 95,contact@gros-uvre.be,BE0380611724,BE95 5882 9470 6066,BBRUBEBB,assets/logos/societe_soc029.svg
SOC030,BTP Services,Construction,construction,115 Highway de Mons,8400,Ostend,Belgium,+32 802 883 71 56,contact@btp-services.be,BE0757240391,BE78 7220 9191 7950,GEBABEBB,assets/logos/societe_soc030.svg
SOC031,Conseil & Stratégie,Consulting,consulting,62 Street du Commerce,1000,Brussels,Belgium,+32 730 790 47 49,contact@conseil--stratgie.be,BE0621438773,BE93 9423 1273 9367,GKCCBEBB,assets/logos/societe_soc031.svg
SOC032,Expertise Pro,Consulting,consulting,75 Avenue de la Liberté,2000,Antwerp,Belgium,+32 361 649 80 48,contact@expertise-pro.be,BE0850266234,BE72 1153 6515 2058,BBRUBEBB,assets/logos/societe_soc032.svg
SOC033,Consulting Plus,Consulting,consulting,11 Boulevard Industriel,9000,Ghent,Belgium,+32 985 459 55 52,contact@consulting-plus.be,BE0716982873,BE63 4323 9382 8098,GKCCBEBB,assets/logos/societe_soc033.svg
SOC034,Audit & Conseil,Consulting,consulting,81 Square du Marché,4000,Liege,Belgium,+32 813 390 12 98,contact@audit--conseil.be,BE0980989913,BE18 7219 2911 4958,GKCCBEBB,assets/logos/societe_soc034.svg
SOC035,Solutions Pro,Consulting,consulting,14 Street des Artisans,5000,Namur,Belgium,+32 177 617 78 15,contact@solutions-pro.be,BE0257449024,BE39 6724 6344 6230,GKCCBEBB,assets/logos/societe_soc035.svg
SOC036,Cabinet Conseil,Consulting,consulting,145 Highway de Mons,3000,Leuven,Belgium,+32 256 658 63 98,contact@cabinet-conseil.be,BE0448919542,BE90 5500 6072 7127,GEBABEBB,assets/logos/societe_soc036.svg
SOC037,ÉlecPro,Electrical,electrician,143 Street du Commerce,1000,Brussels,Belgium,+32 925 556 14 65,contact@lecpro.be,BE0586870264,BE23 8147 3320 6960,BBRUBEBB,assets/logos/societe_soc037.svg
SOC038,Courant Fort,Electrical,electrician,27 Avenue de la Liberté,2000,Antwerp,Belgium,+32 521 744 31 80,contact@courant-fort.be,BE0295789981,BE34 1156 7265 5535,GEBABEBB,assets/logos/societe_soc038.svg
SOC039,Installations Élec,Electrical,electrician,89 Boulevard Industriel,9000,Ghent,Belgium,+32 802 896 85 47,contact@installations-lec.be,BE0130005488,BE73 4562 2546 1173,BBRUBEBB,assets/logos/societe_soc039.svg
SOC040,Électricité Générale,Electrical,electrician,53 Square du Marché,4000,Liege,Belgium,+32 928 660 87 45,contact@lectricit-gnrale.be,BE0980715726,BE60 6408 1015 9320,GKCCBEBB,assets/logos/societe_soc040.svg
SOC041,High Volt,Electrical,electrician,84 Street des Artisans,5000,Namur,Belgium,+32 580 822 79 96,contact@high-volt.be,BE0390792389,BE90 7904 2483 2641,GEBABEBB,assets/logos/societe_soc041.svg
SOC042,Éclairage Pro,Electrical,electrician,79 Highway de Mons,6000,Charleroi,Belgium,+32 673 899 76 66,contact@clairage-pro.be,BE0586196131,BE89 6975 3375 1694,GEBABEBB,assets/logos/societe_soc042.svg
SOC043,Gym Club,Fitness/Santé,fitness,87 Street du Commerce,1000,Brussels,Belgium,+32 542 971 33 96,contact@gym-club.be,BE0654667434,BE96 1914 4087 7664,GKCCBEBB,assets/logos/societe_soc043.svg
SOC044,Fitness Center,Fitness/Santé,fitness,143 Avenue de la Liberté,2000,Antwerp,Belgium,+32 253 965 47 60,contact@fitness-center.be,BE0908865874,BE80 5067 5267 3759,GEBABEBB,assets/logos/societe_soc044.svg
SOC045,Musculation Pro,Fitness/Santé,fitness,76 Boulevard Industriel,9000,Ghent,Belgium,+32 832 424 72 10,contact@musculation-pro.be,BE0390946600,BE50 5120 9623 1529,GKCCBEBB,assets/logos/societe_soc045.svg
SOC046,Sport & Santé,Fitness/Santé,fitness,7 Square du Marché,4000,Liege,Belgium,+32 287 812 16 15,contact@sport--sant.be,BE0506778935,BE48 9387 1560 2641,GEBABEBB,assets/logos/societe_soc046.svg
SOC047,Body Fit,Fitness/Santé,fitness,129 Street des Artisans,5000,Namur,Belgium,+32 808 333 69 57,contact@body-fit.be,BE0914813487,BE60 5198 3703 3512,BBRUBEBB,assets/logos/societe_soc047.svg
SOC048,Athlétique Club,Fitness/Santé,fitness,124 Highway de Mons,8000,Bruges,Belgium,+32 926 513 92 64,contact@athltique-club.be,BE0451279976,BE15 5474 5596 6650,GKCCBEBB,assets/logos/societe_soc048.svg
SOC049,Jardin Pro,Gardening,gardening,141 Street du Commerce,1000,Brussels,Belgium,+32 432 305 96 55,contact@jardin-pro.be,BE0301287742,BE10 7472 1036 1499,BBRUBEBB,assets/logos/societe_soc049.svg
SOC050,Vert & Nature,Gardening,gardening,124 Avenue de la Liberté,2000,Antwerp,Belgium,+32 416 911 73 44,contact@vert--nature.be,BE0725849136,BE22 6418 4750 5240,BBRUBEBB,assets/logos/societe_soc050.svg
SOC051,Paysagiste Plus,Gardening,gardening,87 Boulevard Industriel,9000,Ghent,Belgium,+32 845 452 35 13,contact@paysagiste-plus.be,BE0786511711,BE60 4389 8391 9364,GEBABEBB,assets/logos/societe_soc051.svg
SOC052,Jardinage Express,Gardening,gardening,75 Square du Marché,4000,Liege,Belgium,+32 431 727 13 33,contact@jardinage-express.be,BE0487913855,BE75 3816 4060 4619,GKCCBEBB,assets/logos/societe_soc052.svg
SOC053,Flore & Jardin,Gardening,gardening,145 Street des Artisans,5000,Namur,Belgium,+32 578 966 40 30,contact@flore--jardin.be,BE0933514116,BE49 7639 3542 3401,BBRUBEBB,assets/logos/societe_soc053.svg
SOC054,Espaces Verts,Gardening,gardening,140 Highway de Mons,8400,Ostend,Belgium,+32 408 669 98 43,contact@espaces-verts.be,BE0912589900,BE44 7760 5705 4849,GEBABEBB,assets/logos/societe_soc054.svg
SOC055,Salon Élégance,Hairdressing,hairdressing,29 Street du Commerce,1000,Brussels,Belgium,+32 336 836 85 99,contact@salon-lgance.be,BE0140611608,BE71 8423 6711 5260,GEBABEBB,assets/logos/societe_soc055.svg
SOC056,Coiffure Mode,Hairdressing,hairdressing,30 Avenue de la Liberté,2000,Antwerp,Belgium,+32 465 498 83 10,contact@coiffure-mode.be,BE0215268652,BE40 5970 9413 4260,GKCCBEBB,assets/logos/societe_soc056.svg
SOC057,Hair Pro,Hairdressing,hairdressing,43 Boulevard Industriel,9000,Ghent,Belgium,+32 383 849 52 62,contact@hair-pro.be,BE0257409439,BE81 9753 5168 4006,GEBABEBB,assets/logos/societe_soc057.svg
SOC058,Coupe & Style,Hairdressing,hairdressing,39 Square du Marché,4000,Liege,Belgium,+32 357 592 44 38,contact@coupe--style.be,BE0256531229,BE30 8065 3298 7292,GEBABEBB,assets/logos/societe_soc058.svg
SOC059,Salon Prestige,Hairdressing,hairdressing,86 Street des Artisans,5000,Namur,Belgium,+32 683 355 64 82,contact@salon-prestige.be,BE0613941391,BE61 1077 2232 7113,GEBABEBB,assets/logos/societe_soc059.svg
SOC060,Tendance Coiffure,Hairdressing,hairdressing,25 Highway de Mons,6000,Charleroi,Belgium,+32 725 333 34 47,contact@tendance-coiffure.be,BE0490425076,BE21 6478 5556 4867,GKCCBEBB,assets/logos/societe_soc060.svg
SOC061,Tech Solutions,IT,it,6 Street du Commerce,1000,Brussels,Belgium,+32 180 915 27 68,contact@tech-solutions.be,BE0361811286,BE35 8100 9389 2853,GKCCBEBB,assets/logos/societe_soc061.svg
SOC062,InfoPro,IT,it,64 Avenue de la Liberté,2000,Antwerp,Belgium,+32 562 490 58 70,contact@infopro.be,BE0750128578,BE32 3793 1364 7048,BBRUBEBB,assets/logos/societe_soc062.svg
SOC063,Digital Services,IT,it,100 Boulevard Industriel,9000,Ghent,Belgium,+32 462 920 35 60,contact@digital-services.be,BE0944046744,BE29 8382 7730 7728,GKCCBEBB,assets/logos/societe_soc063.svg
SOC064,Informatique Plus,IT,it,64 Square du Marché,4000,Liege,Belgium,+32 475 717 71 51,contact@informatique-plus.be,BE0370552485,BE98 3629 7396 5320,BBRUBEBB,assets/logos/societe_soc064.svg
SOC065,Tech Center,IT,it,44 Street des Artisans,5000,Namur,Belgium,+32 718 473 27 83,contact@tech-center.be,BE0955983280,BE89 4970 3839 8449,GKCCBEBB,assets/logos/societe_soc065.svg
SOC066,Solutions IT,IT,it,28 Highway de Mons,3000,Leuven,Belgium,+32 486 655 34 69,contact@solutions-it.be,BE0663644490,BE15 5112 9774 7305,GEBABEBB,assets/logos/societe_soc066.svg
SOC067,Photo Studio,Photography,photography,86 Street du Commerce,1000,Brussels,Belgium,+32 843 722 68 57,contact@photo-studio.be,BE0552490759,BE88 9276 9741 2177,GKCCBEBB,assets/logos/societe_soc067.svg
SOC068,Images Pro,Photography,photography,77 Avenue de la Liberté,2000,Antwerp,Belgium,+32 971 669 29 84,contact@images-pro.be,BE0300468947,BE15 8939 4553 9384,GEBABEBB,assets/logos/societe_soc068.svg
SOC069,Pixel Studio,Photography,photography,88 Boulevard Industriel,9000,Ghent,Belgium,+32 822 962 48 44,contact@pixel-studio.be,BE0326188583,BE14 9619 1475 5950,BBRUBEBB,assets/logos/societe_soc069.svg
SOC070,Photographie Art,Photography,photography,55 Square du Marché,4000,Liege,Belgium,+32 763 336 52 80,contact@photographie-art.be,BE0487480538,BE70 2815 6438 5857,GEBABEBB,assets/logos/societe_soc070.svg
SOC071,Flash Pro,Photography,photography,52 Street des Artisans,5000,Namur,Belgium,+32 706 639 23 25,contact@flash-pro.be,BE0666622187,BE62 7456 5392 3708,GKCCBEBB,assets/logos/societe_soc071.svg
SOC072,Studio Lumière,Photography,photography,90 Highway de Mons,8000,Bruges,Belgium,+32 645 105 92 80,contact@studio-lumire.be,BE0247984368,BE52 5440 7884 4094,GEBABEBB,assets/logos/societe_soc072.svg
SOC073,Plomberie Express,Plumbing,plumbing,22 Street du Commerce,1000,Brussels,Belgium,+32 376 258 85 47,contact@plomberie-express.be,BE0612063529,BE69 2098 4995 9997,GKCCBEBB,assets/logos/societe_soc073.svg
SOC074,Robinet Pro,Plumbing,plumbing,63 Avenue de la Liberté,2000,Antwerp,Belgium,+32 574 715 28 67,contact@robinet-pro.be,BE0104907453,BE10 9010 4384 7522,GEBABEBB,assets/logos/societe_soc074.svg
SOC075,Canalisation Plus,Plumbing,plumbing,90 Boulevard Industriel,9000,Ghent,Belgium,+32 362 928 54 44,contact@canalisation-plus.be,BE0447743060,BE15 3450 2538 1233,BBRUBEBB,assets/logos/societe_soc075.svg
SOC076,Eau & Chauffage,Plumbing,plumbing,22 Square du Marché,4000,Liege,Belgium,+32 883 478 73 83,contact@eau--chauffage.be,BE0223478206,BE77 7099 2429 2472,GKCCBEBB,assets/logos/societe_soc076.svg
SOC077,Plomb Pro,Plumbing,plumbing,125 Street des Artisans,5000,Namur,Belgium,+32 932 759 29 62,contact@plomb-pro.be,BE0100271024,BE24 2181 7213 4595,GEBABEBB,assets/logos/societe_soc077.svg
SOC078,Sanitaire Express,Plumbing,plumbing,127 Highway de Mons,6000,Charleroi,Belgium,+32 551 461 60 36,contact@sanitaire-express.be,BE0345233601,BE37 8296 7917 8374,GKCCBEBB,assets/logos/societe_soc078.svg
SOC079,Le Gourmet,Catering,restaurant,124 Street du Commerce,1000,Brussels,Belgium,+32 626 111 82 35,contact@le-gourmet.be,BE0429540243,BE65 5741 9365 9091,GKCCBEBB,assets/logos/societe_soc079.svg
SOC080,Resto Pro,Catering,restaurant,100 Avenue de la Liberté,2000,Antwerp,Belgium,+32 215 306 10 68,contact@resto-pro.be,BE0958910300,BE79 4365 3870 4116,BBRUBEBB,assets/logos/societe_soc080.svg
SOC081,Saveurs & Gourmandises,Catering,restaurant,53 Boulevard Industriel,9000,Ghent,Belgium,+32 214 326 38 54,contact@saveurs--gourmandises.be,BE0855425175,BE20 9352 8452 4722,BBRUBEBB,assets/logos/societe_soc081.svg
SOC082,Brasserie Centrale,Catering,restaurant,69 Square du Marché,4000,Liege,Belgium,+32 670 114 27 80,contact@brasserie-centrale.be,BE0434757784,BE86 1593 7017 7893,GEBABEBB,assets/logos/societe_soc082.svg
SOC083,Café Restaurant,Catering,restaurant,22 Street des Artisans,5000,Namur,Belgium,+32 307 525 20 43,contact@caf-restaurant.be,BE0115954431,BE23 6754 6348 5720,GKCCBEBB,assets/logos/societe_soc083.svg
SOC084,Table & Assiette,Catering,restaurant,106 Highway de Mons,8000,Bruges,Belgium,+32 160 429 47 99,contact@table--assiette.be,BE0263038921,BE59 1547 3512 3056,GKCCBEBB,assets/logos/societe_soc084.svg
SOC085,Magasin Central,Commerce,retail,92 Street du Commerce,1000,Brussels,Belgium,+32 841 564 43 21,contact@magasin-central.be,BE0263239031,BE39 9015 2937 6548,GEBABEBB,assets/logos/societe_soc085.svg
SOC086,Boutique Pro,Commerce,retail,127 Avenue de la Liberté,2000,Antwerp,Belgium,+32 152 429 82 60,contact@boutique-pro.be,BE0549546712,BE67 9121 3969 5622,BBRUBEBB,assets/logos/societe_soc086.svg
SOC087,Commerce Plus,Commerce,retail,119 Boulevard Industriel,9000,Ghent,Belgium,+32 443 478 91 56,contact@commerce-plus.be,BE0614877312,BE62 7363 2943 3670,GKCCBEBB,assets/logos/societe_soc087.svg
SOC088,Store Express,Commerce,retail,124 Square du Marché,4000,Liege,Belgium,+32 902 681 88 93,contact@store-express.be,BE0840873717,BE24 8699 9336 8116,GKCCBEBB,assets/logos/societe_soc088.svg
SOC089,Shop Center,Commerce,retail,118 Street des Artisans,5000,Namur,Belgium,+32 188 918 55 78,contact@shop-center.be,BE0448636632,BE29 6259 6161 7907,GKCCBEBB,assets/logos/societe_soc089.svg
SOC090,Vente Directe,Commerce,retail,81 Highway de Mons,6000,Charleroi,Belgium,+32 647 418 34 34,contact@vente-directe.be,BE0876867754,BE81 2540 2686 8485,BBRUBEBB,assets/logos/societe_soc090.svgSOC091
SOC092,Pompes funèbres Top Concept,Pompes funèbres,funeral,108 Street des Artisans,Evere,1140,Belgium,+32 17 303 231 74,contact@pompes-funèbres-top-concept.be,BE0001902228,BE23 3434 5071 87,KREDBEBB,assets/logos/societe_soc092.svg
SOC093,Maes & Willems,Traiteur,catering,14 Street du Moulin,Dilbeek,1700,Belgium,+32 97 893 724 37,contact@maes--willems.be,BE0003013053,BE25 8205 6755 58,NICABEBB,assets/logos/societe_soc093.svg
SOC094,TopIntracommunautaire Plus,Intracommunautaire,intracommunity,87 Street de la Loi,Anvers,2000,Belgium,+32 94 662 517 67,contact@topintracommunautaire-plus.be,BE0001341460,BE49 1607 1388 57,GEBABEBB,assets/logos/societe_soc094.svg
SOC095,Wouters Association,Association,ngo,150 Boulevard de l'Europe,Uccle,1180,Belgium,+32 63 282 363 23,contact@wouters-association.be,BE0004727668,BE96 6913 5443 59,BBRUBEBB,assets/logos/societe_soc095.svg
SOC096,Lemaire Démolition,Démolition,demolition,23 Street du Parc,Kampenhout,1910,Belgium,+32 78 116 869 69,contact@lemaire-démolition.be,BE0001012500,BE51 2888 9375 90,BBRUBEBB,assets/logos/societe_soc096.svg
SOC097,Énergie Arlon,Énergie,energy_contractor,35 Street de la Gare,Bruxelles,1000,Belgium,+32 56 601 626 50,contact@énergie-arlon.be,BE0006570445,BE39 2953 9964 08,GEBABEBB,assets/logos/societe_soc097.svg
SOC098,First Intracommunautaire Services,Intracommunautaire,intracommunity,120 Boulevard du Midi,Marche-en-Famenne,6900,Belgium,+32 19 357 423 87,contact@first-intracommunautaire-services.be,BE0001065203,BE24 0632 4894 01,BNAGBEBB,assets/logos/societe_soc098.svg
SOC099,EliteAgriculture Belgium,Agriculture,agriculture,11 Avenue du Centre,Ixelles,1050,Belgium,+32 32 546 327 75,contact@eliteagriculture-belgium.be,BE0009884945,BE43 2548 5590 19,GEBABEBB,assets/logos/societe_soc099.svg
SOC100,InterÉducation Plus,Éducation,education,69 Avenue des Nations,Bastogne,6600,Belgium,+32 66 322 488 30,contact@interéducation-plus.be,BE0008156768,BE02 0705 8436 59,NICABEBB,assets/logos/societe_soc100.svg
SOC101,Thys & Mercier,Import-Export,import_export,123 Boulevard Anspach,Saint-Josse-ten-Noode,1210,Belgium,+32 74 858 454 24,contact@thys--mercier.be,BE0005831313,BE32 4121 7630 03,KREDBEBB,assets/logos/societe_soc101.svg
SOC102,Banque Alpha & Co,Banque,banking,96 Street du Marché aux Herbes,Zemst,1980,Belgium,+32 15 721 828 84,contact@banque-alpha--co.be,BE0006685720,BE53 9541 8894 08,NICABEBB,assets/logos/societe_soc102.svg
SOC103,Martin & Simon,Pharmacie,pharmacy,61 Street de l'Église,Courtrai,8500,Belgium,+32 68 410 109 25,contact@martin--simon.be,BE0006431110,BE67 0485 9776 26,KREDBEBB,assets/logos/societe_soc103.svg
SOC104,Top Intracommunautaire Plus,Intracommunautaire,intracommunity,5 Street Haute,Courtrai,8500,Belgium,+32 37 509 922 79,contact@top-intracommunautaire-plus.be,BE0003016755,BE44 8605 8048 97,GEBABEBB,assets/logos/societe_soc104.svg
SOC105,Assurance Watermael-Boitsfort,Assurance,insurance,92 Square du Marché,Grimbergen,1850,Belgium,+32 96 239 356 79,contact@assurance-watermael-boitsfort.be,BE0002926383,BE46 0292 3329 80,AXABBE22,assets/logos/societe_soc105.svg
SOC106,TopLogementsocial Belgium,Logement social,social_housing,98 Avenue de la Liberté,Saint-Servais,5002,Belgium,+32 11 546 499 23,contact@toplogementsocial-belgium.be,BE0006521251,BE89 4335 4125 16,BBRUBEBB,assets/logos/societe_soc106.svg
SOC107,Déménagement Plus Services,Déménagement,moving,134 Avenue de la Liberté,Genk,3600,Belgium,+32 79 232 735 71,contact@déménagement-plus-services.be,BE0004031592,BE68 6971 0497 60,NICABEBB,assets/logos/societe_soc107.svg
SOC108,Girard & Goossens,Gaz domestique,gas_domestic,60 Avenue de Tervuren,Saint-Josse-ten-Noode,1210,Belgium,+32 42 388 635 98,contact@girard--goossens.be,BE0008263166,BE17 2564 4911 76,NICABEBB,assets/logos/societe_soc108.svg
SOC109,EliteDémolition Bruxelles,Démolition,demolition,146 Street de la Loi,Bruges,8000,Belgium,+32 84 758 445 53,contact@elitedémolition-bruxelles.be,BE0007607010,BE77 6855 9890 09,BBRUBEBB,assets/logos/societe_soc109.svg
SOC110,Elite Agence de voyage & Co,Agence de voyage,travel_agency,103 Street Antoine Dansaert,Gilly,6060,Belgium,+32 71 655 838 25,contact@elite-agence-de-voyage--co.be,BE0003560580,BE21 8100 2473 92,GEBABEBB,assets/logos/societe_soc110.svg
SOC111,ExpressPiercing Solutions,Piercing,piercing,122 Street Neuve,Anvers,2000,Belgium,+32 41 362 907 77,contact@expresspiercing-solutions.be,BE0002966934,BE24 3369 7711 43,KREDBEBB,assets/logos/societe_soc111.svg
SOC112,Martin & Maes,Banque,banking,33 Street Haute,Waterloo,1410,Belgium,+32 18 248 402 31,contact@martin--maes.be,BE0005188225,BE10 9804 9679 39,BNAGBEBB,assets/logos/societe_soc112.svg
SOC113,Assurance Seraing,Assurance,insurance,61 Boulevard du Midi,Herne,1540,Belgium,+32 37 428 780 82,contact@assurance-seraing.be,BE0004235618,BE70 6474 0247 25,BNAGBEBB,assets/logos/societe_soc113.svg
SOC114,Declercq & Desmet,Pompes funèbres,funeral,10 Street Antoine Dansaert,Hoeilaart,1560,Belgium,+32 76 695 344 35,contact@declercq--desmet.be,BE0002599832,BE87 8488 7449 92,BNAGBEBB,assets/logos/societe_soc114.svg
SOC115,Librairie Rebecq,Bookstore,bookstore,96 Avenue de Tervuren,Braine-l'Alleud,1420,Belgium,+32 14 493 913 15,contact@librairie-rebecq.be,BE0005151066,BE08 7375 8491 43,GEBABEBB,assets/logos/societe_soc115.svg
SOC116,NewRehabilitation Partners,Rehabilitation,rehabilitation,77 Boulevard Léopold,Drogenbos,1620,Belgium,+32 99 826 783 52,contact@newrehabilitation-partners.be,BE0004730165,BE41 8764 3358 09,NICABEBB,assets/logos/societe_soc116.svg
SOC117,Girard Vétérinaire,Vétérinaire,veterinary,90 Street Neuve,Ixelles,1050,Belgium,+32 98 305 524 53,contact@girard-vétérinaire.be,BE0003404873,BE46 3178 3732 75,KREDBEBB,assets/logos/societe_soc117.svg
SOC118,Export Omega Plus,Export,export_services,140 Street Antoine Dansaert,Wemmel,1780,Belgium,+32 92 506 848 82,contact@export-omega-plus.be,BE0007177734,BE86 5313 7047 16,GEBABEBB,assets/logos/societe_soc118.svg
SOC119,Crèche Inter Partners,Crèche,childcare,56 Avenue des Nations,Forest,1190,Belgium,+32 31 112 831 86,contact@crèche-inter-partners.be,BE0005638173,BE96 4417 0117 49,BBRUBEBB,assets/logos/societe_soc119.svg
SOC120,Transport Pro Concept,Transport,public_transport,110 Avenue des Arts,Drogenbos,1620,Belgium,+32 89 832 332 52,contact@transport-pro-concept.be,BE0009697855,BE02 0265 0617 06,BBRUBEBB,assets/logos/societe_soc120.svg
