secteur;langue;nom_produit;prix_unitaire;unite;etiquette_unite;type
consulting;fr;Plan stratégique;8500.00;pc;plan;service
consulting;fr;Document de synthèse;1200.00;pc;document;service
consulting;fr;Consulting stratégique;180.00;h;heure;service
consulting;fr;Accompagnement projet;150.00;h;heure;service
consulting;fr;Audit organisationnel;3200.00;pc;audit;service
consulting;fr;Formation management;1200.00;jour;jour;service
consulting;fr;Coaching dirigeant;350.00;h;heure;service
consulting;fr;Atelier travail;800.00;jour;jour;service
consulting;fr;Diagnostic entreprise;2800.00;pc;diagnostic;service
consulting;fr;Plan de transformation;5500.00;pc;plan;service
consulting;fr;Benchmark concurrentiel;2200.00;pc;benchmark;service
consulting;fr;Roadmap digitale;3800.00;pc;roadmap;service
consulting;fr;Support mensuel;2000.00;mois;mois;service
construction;fr;Sac de ciment (25kg);12.50;pc;sac;produit
construction;fr;Palette de briques;450.00;pc;palette;produit
construction;fr;Poutre métallique HEB;180.00;m;mètre;produit
construction;fr;Carrelage (m²);35.00;m2;m²;produit
construction;fr;Peinture intérieure (10L);89.00;pc;pot;service
construction;fr;Main d'œuvre maçon;55.00;h;heure;produit
construction;fr;Main d'œuvre électricien;65.00;h;heure;produit
construction;fr;Location échafaudage (semaine);280.00;pc;semaine;produit
construction;fr;Sable (tonne);65.00;pc;tonne;produit
construction;fr;Gravier (tonne);58.00;pc;tonne;produit
construction;fr;Plaque de plâtre BA13;8.50;m2;plaque;service
construction;fr;Isolation laine de verre;22.00;m2;m²;produit
construction;fr;Fenêtre PVC standard;450.00;pc;fenêtre;produit
construction;fr;Porte intérieure;280.00;pc;porte;produit
construction;fr;Toiture tuiles (m²);85.00;m2;m²;produit
plumbing;fr;Robinet mitigeur;45.00;pc;pièce;service
plumbing;fr;WC suspendu;320.00;pc;pièce;service
plumbing;fr;Lavabo + colonne;180.00;pc;pièce;service
plumbing;fr;Douche italienne;850.00;pc;pièce;service
plumbing;fr;Baignoire acrylique;450.00;pc;pièce;service
plumbing;fr;Chauffe-eau électrique;380.00;pc;pièce;service
plumbing;fr;Tuyau cuivre (mètre);12.50;m;mètre;service
plumbing;fr;Raccords plomberie (lot);25.00;pc;lot;service
plumbing;fr;Pompe de relevage;280.00;pc;pièce;service
plumbing;fr;Débouchage canalisation;120.00;pc;intervention;service
plumbing;fr;Main d'œuvre plombier;65.00;h;heure;service
plumbing;fr;Installation sanitaire;450.00;pc;forfait;service
plumbing;fr;Adoucisseur d'eau;890.00;pc;pièce;service
plumbing;fr;Filtre à eau;120.00;pc;pièce;service
plumbing;fr;Chasse d'eau économique;85.00;pc;pièce;service
electrician;fr;Tableau électrique;350.00;pc;pièce;service
electrician;fr;Disjoncteur;45.00;pc;pièce;service
electrician;fr;Prise électrique;8.50;pc;pièce;service
electrician;fr;Interrupteur;12.00;pc;pièce;service
electrician;fr;Câble électrique (mètre);3.20;m;mètre;service
electrician;fr;Boîtier encastré;6.50;pc;pièce;service
electrician;fr;Plafonnier LED;89.00;pc;pièce;service
electrician;fr;Spot encastrable;25.00;pc;pièce;service
electrician;fr;Ventilateur extracteur;120.00;pc;pièce;service
electrician;fr;Interphone vidéo;380.00;pc;pièce;service
electrician;fr;Domotique (pack);1200.00;pc;pack;service
electrician;fr;Main d'œuvre électricien;65.00;h;heure;service
electrician;fr;Mise aux normes électrique;850.00;pc;forfait;service
electrician;fr;Réalisation schéma électrique;450.00;pc;forfait;service
electrician;fr;Diagnostic électrique;180.00;pc;forfait;service
carpentry;fr;Porte en bois massif;450.00;pc;pièce;produit
carpentry;fr;Fenêtre en chêne;680.00;pc;pièce;produit
carpentry;fr;Escalier sur mesure;3500.00;pc;pièce;produit
carpentry;fr;Placard dressing;1200.00;pc;pièce;produit
carpentry;fr;Bibliothèque sur mesure;850.00;pc;pièce;produit
carpentry;fr;Parquet chêne (m²);65.00;m2;m²;produit
carpentry;fr;Lambris mural (m²);35.00;m2;m²;produit
carpentry;fr;Charpente traditionnelle;8500.00;pc;forfait;produit
carpentry;fr;Rénovation meuble;450.00;pc;pièce;produit
carpentry;fr;Table sur mesure;680.00;pc;pièce;produit
carpentry;fr;Chaise en bois;120.00;pc;pièce;produit
carpentry;fr;Main d'œuvre menuisier;55.00;h;heure;produit
carpentry;fr;Vernissage/staining;35.00;m2;m²;produit
carpentry;fr;Découpe sur mesure;25.00;pc;pièce;produit
carpentry;fr;Pose parquet;28.00;m2;m²;produit
hairdressing;fr;Coupe homme;25.00;pc;prestation;service
hairdressing;fr;Coupe femme;35.00;pc;prestation;service
hairdressing;fr;Brushing;28.00;pc;prestation;service
hairdressing;fr;Coloration;55.00;pc;prestation;service
hairdressing;fr;Mèches/balayage;75.00;pc;prestation;service
hairdressing;fr;Défrisage;85.00;pc;prestation;service
hairdressing;fr;Permanente;65.00;pc;prestation;service
hairdressing;fr;Chignon soirée;45.00;pc;prestation;service
hairdressing;fr;Shampooing traitant;15.00;pc;prestation;service
hairdressing;fr;Soin profond;25.00;pc;prestation;service
hairdressing;fr;Forfait mariage;250.00;pc;forfait;service
hairdressing;fr;Produit coiffant;18.50;pc;flacon;service
hairdressing;fr;Sérum cheveux;24.90;pc;flacon;service
hairdressing;fr;Pack soin complet;120.00;pc;forfait;service
hairdressing;fr;Carte fidélité (10 coupes);220.00;pc;carte;service
automotive;fr;Révision complète;180.00;pc;forfait;produit
automotive;fr;Vidange + filtres;85.00;pc;forfait;produit
automotive;fr;Freins avant (remplacement);220.00;pc;forfait;produit
automotive;fr;Freins arrière (remplacement);190.00;pc;forfait;produit
automotive;fr;Pneu été (montage);65.00;pc;pneu;produit
automotive;fr;Pneu hiver (montage);75.00;pc;pneu;produit
automotive;fr;Parallélisme;85.00;pc;forfait;produit
automotive;fr;Batterie;180.00;pc;pièce;produit
automotive;fr;Alternateur;350.00;pc;pièce;produit
automotive;fr;Démarreur;280.00;pc;pièce;produit
automotive;fr;Embrayage;650.00;pc;pièce;produit
automotive;fr;Courroie distribution;450.00;pc;pièce;produit
automotive;fr;Diagnostic électronique;65.00;pc;forfait;produit
automotive;fr;Climatisation (recharge);95.00;pc;forfait;produit
automotive;fr;Lavage premium;25.00;pc;prestation;produit
cleaning;fr;Nettoyage régulier (heure);28.00;h;heure;service
cleaning;fr;Nettoyage en profondeur;350.00;pc;forfait;service
cleaning;fr;Nettoyage vitres;85.00;pc;forfait;service
cleaning;fr;Nettoyage moquette;120.00;pc;forfait;service
cleaning;fr;Désinfection;150.00;pc;forfait;service
cleaning;fr;Nettoyage après chantier;450.00;pc;forfait;service
cleaning;fr;Nettoyage écologique;32.00;h;heure;service
cleaning;fr;Produits écologiques (kit);45.00;pc;kit;service
cleaning;fr;Aspirateur professionnel;15.00;pc;location;service
cleaning;fr;Shampoing moquette;85.00;pc;prestation;service
cleaning;fr;Protection anti-taches;65.00;pc;traitement;service
cleaning;fr;Abonnement mensuel;280.00;mois;mois;service
cleaning;fr;Abonnement hebdomadaire;180.00;semaine;semaine;service
cleaning;fr;Nettoyage imprévu;35.00;h;heure;service
cleaning;fr;Débarras;150.00;pc;forfait;service
gardening;fr;Tonte pelouse (séance);45.00;pc;prestation;produit
gardening;fr;Taille haie (mètre);8.50;m;mètre;produit
gardening;fr;Désherbage (heure);32.00;h;heure;produit
gardening;fr;Plantation arbuste;35.00;pc;pièce;produit
gardening;fr;Paillage (m²);12.00;m2;m²;produit
gardening;fr;Engrais (sac 20kg);18.50;pc;sac;service
gardening;fr;Tondeuse électrique;280.00;pc;pièce;produit
gardening;fr;Coupe-bordures;85.00;pc;pièce;produit
gardening;fr;Souffleur feuilles;120.00;pc;pièce;produit
gardening;fr;Système d'arrosage;450.00;pc;forfait;produit
gardening;fr;Élagage arbre;280.00;pc;prestation;produit
gardening;fr;Aménagement jardin;1200.00;pc;forfait;produit
gardening;fr;Semences gazon (kg);12.00;kg;kg;produit
gardening;fr;Terreau (sac 50L);8.50;pc;sac;service
gardening;fr;Abonnement entretien mensuel;180.00;mois;mois;produit
photography;fr;Séance portrait;150.00;pc;séance;service
photography;fr;Séance famille;280.00;pc;séance;service
photography;fr;Séance nouveau-né;350.00;pc;séance;service
photography;fr;Séance événementielle;450.00;pc;séance;service
photography;fr;Mariage (forfait);1800.00;pc;forfait;service
photography;fr;Reportage entreprise;650.00;pc;forfait;service
photography;fr;Photo produit (par produit);35.00;pc;photo;service
photography;fr;Retouche photo;25.00;pc;photo;service
photography;fr;Tirage 20x30;18.00;pc;tirage;service
photography;fr;Album photo (20 pages);120.00;pc;album;service
photography;fr;Cadre photo;45.00;pc;pièce;service
photography;fr;Location studio (heure);55.00;h;heure;service
photography;fr;Cours photo particulier;65.00;h;heure;service
photography;fr;Abonnement entreprise;450.00;mois;mois;service
fitness;fr;Abonnement mensuel;45.00;mois;mois;produit
fitness;fr;Cours collectif;12.00;pc;cours;produit
fitness;fr;Coaching personnel;65.00;h;heure;produit
fitness;fr;Séance massage;75.00;pc;séance;produit
fitness;fr;Accès sauna + spa;25.00;pc;accès;produit
fitness;fr;Évaluation fitness;35.00;pc;évaluation;produit
fitness;fr;Programme personnalisé;85.00;pc;programme;produit
fitness;fr;Vêtement sport;35.00;pc;pièce;produit
fitness;fr;Shaker protéine;8.50;pc;pièce;produit
fitness;fr;Barre protéinée;3.50;pc;pièce;produit
fitness;fr;Suppléments (pot);45.00;pc;pot;produit
fitness;fr;Serviette + badge;15.00;pc;pack;produit
fitness;fr;Cours yoga;15.00;pc;cours;produit
fitness;fr;Cours pilates;15.00;pc;cours;produit
fitness;fr;Abonnement annuel;450.00;an;an;produit
sport_equipment;fr;Vélo de route;899.0;pc;vélo;produit
sport_equipment;fr;Vélo électrique;2499.0;pc;vélo;produit
sport_equipment;fr;Tapis de course;1299.0;pc;appareil;produit
sport_equipment;fr;Haltères 5kg (la paire);35.0;pc;paire;produit
sport_equipment;fr;Haltères 10kg (la paire);59.0;pc;paire;produit
sport_equipment;fr;Ballon de football;29.99;pc;ballon;produit
sport_equipment;fr;Ballon de basketball;34.99;pc;ballon;produit
sport_equipment;fr;Raquette de tennis;89.0;pc;raquette;produit
sport_equipment;fr;Raquette de badminton;45.0;pc;raquette;produit
sport_equipment;fr;Table de ping-pong;299.0;pc;table;produit
sport_equipment;fr;Gants de boxe;55.0;pc;paire;produit
sport_equipment;fr;Sac de frappe;120.0;pc;pièce;produit
sport_equipment;fr;Tapis de yoga;35.0;pc;tapis;produit
sport_equipment;fr;Ballon de gym;18.0;pc;ballon;produit
sport_equipment;fr;Élastiques de fitness;15.0;pc;set;produit
sport_equipment;fr;Montre GPS sport;249.0;pc;montre;produit
sport_equipment;fr;Casque de ski;89.0;pc;casque;produit
sport_equipment;fr;Skis alpins;450.0;pc;paire;produit
sport_equipment;fr;Chaussures de foot;79.99;pc;paire;produit
sport_equipment;fr;Chaussures de running;119.0;pc;paire;produit
sport_equipment;fr;Maillot de bain;45.0;pc;pièce;produit
sport_equipment;fr;Palmes de plongée;65.0;pc;paire;produit
sport_equipment;fr;Masque de plongée;35.0;pc;pièce;produit
sport_equipment;fr;Tuba;25.0;pc;pièce;produit
sport_equipment;fr;Location ski (jour);25.0;jour;jour;service
sport_equipment;fr;Cours de tennis;45.0;h;heure;service
sport_equipment;fr;Cours de natation;35.0;h;heure;service
sport_equipment;fr;Cours de golf;65.0;h;heure;service
sport_equipment;fr;Cours de ski;55.0;h;heure;service
sport_equipment;fr;Entretien vélo;35.0;pc;forfait;service
sport_equipment;fr;Réparation vélo;25.0;h;heure;service
jewelry;fr;Bague or 18k;450.0;pc;bague;produit
jewelry;fr;Bague diamant;1850.0;pc;bague;produit
jewelry;fr;Alliance or;380.0;pc;alliance;produit
jewelry;fr;Collier or;520.0;pc;collier;produit
jewelry;fr;Collier perles;280.0;pc;collier;produit
jewelry;fr;Bracelet or;390.0;pc;bracelet;produit
jewelry;fr;Bracelet argent;120.0;pc;bracelet;produit
jewelry;fr;Boucles d'oreilles or;220.0;pc;paire;produit
jewelry;fr;Boucles d'oreilles diamant;890.0;pc;paire;produit
jewelry;fr;Pendentif or;180.0;pc;pendentif;produit
jewelry;fr;Montre luxe homme;3500.0;pc;montre;produit
jewelry;fr;Montre luxe femme;2800.0;pc;montre;produit
jewelry;fr;Broche vintage;150.0;pc;broche;produit
jewelry;fr; gourmette argent;85.0;pc;bracelet;produit
jewelry;fr;Chevalière or;420.0;pc;bague;produit
jewelry;fr;Créoles or;195.0;pc;paire;produit
jewelry;fr;Jonc argent;65.0;pc;bracelet;produit
jewelry;fr;Sautoir perles;340.0;pc;collier;produit
jewelry;fr;Bijou de cheveux;45.0;pc;pièce;produit
jewelry;fr;Clip de cravate or;125.0;pc;pièce;produit
jewelry;fr;Gravure bijou;25.0;pc;service;service
jewelry;fr;Réparation bijou;45.0;pc;forfait;service
jewelry;fr;Nettoyage bijou;15.0;pc;service;service
jewelry;fr;Expertise bijou;85.0;pc;expertise;service
jewelry;fr;Création sur mesure;250.0;pc;forfait;service
jewelry;fr;Sertissage pierre;120.0;pc;service;service
jewelry;fr;Transformation bijou;180.0;pc;forfait;service
jewelry;fr;Evaluation ancien;150.0;pc;expertise;service
jewelry;fr;Redorure;35.0;pc;service;service
jewelry;fr;Rhodiage;45.0;pc;service;service
watchmaking;fr;Montre classique homme;180.0;pc;montre;produit
watchmaking;fr;Montre classique femme;160.0;pc;montre;produit
watchmaking;fr;Montre connectée;299.0;pc;montre;produit
watchmaking;fr;Montre automatique;650.0;pc;montre;produit
watchmaking;fr;Montre chronographe;450.0;pc;montre;produit
watchmaking;fr;Montre plongée;380.0;pc;montre;produit
watchmaking;fr;Montre aviateur;520.0;pc;montre;produit
watchmaking;fr;Pendule murale;85.0;pc;pendule;produit
watchmaking;fr;Horloge de table;120.0;pc;horloge;produit
watchmaking;fr;Réveil vintage;45.0;pc;réveil;produit
watchmaking;fr;Bracelet cuir;35.0;pc;bracelet;produit
watchmaking;fr;Bracelet métal;55.0;pc;bracelet;produit
watchmaking;fr;Bracelet caoutchouc;25.0;pc;bracelet;produit
watchmaking;fr;Boîte à montres;65.0;pc;boîte;produit
watchmaking;fr;Écrin luxe;45.0;pc;écrin;produit
watchmaking;fr;Boucle déployante;28.0;pc;pièce;produit
watchmaking;fr;Verre saphir;45.0;pc;pièce;produit
watchmaking;fr;Mouvement quartz;35.0;pc;pièce;produit
watchmaking;fr;Mouvement automatique;180.0;pc;pièce;produit
watchmaking;fr;Cadran de remplacement;55.0;pc;pièce;produit
watchmaking;fr;Révision complète;120.0;pc;forfait;service
watchmaking;fr;Changement pile;15.0;pc;service;service
watchmaking;fr;Remplacement bracelet;25.0;pc;service;service
watchmaking;fr;Polissage boîtier;45.0;pc;service;service
watchmaking;fr;Étanchéité;35.0;pc;service;service
watchmaking;fr;Remplacement verre;65.0;pc;service;service
watchmaking;fr;Restauration vintage;280.0;pc;forfait;service
watchmaking;fr;Expertise horlogère;95.0;pc;expertise;service
watchmaking;fr;Garantie extension;45.0;pc;service;service
watchmaking;fr;Nettoyage ultrasons;25.0;pc;service;service
optics;fr;Lunettes de vue (monture);120.0;pc;monture;produit
optics;fr;Lunettes de vue (monture luxe);280.0;pc;monture;produit
optics;fr;Lunettes de soleil;85.0;pc;lunettes;produit
optics;fr;Lunettes de soleil luxe;220.0;pc;lunettes;produit
optics;fr;Verres unifocaux;89.0;pc;paire;produit
optics;fr;Verres progressifs;189.0;pc;paire;produit
optics;fr;Verres anti-lumière bleue;120.0;pc;paire;produit
optics;fr;Verres photochromiques;145.0;pc;paire;produit
optics;fr;Verres polarisants;95.0;pc;paire;produit
optics;fr;Lentilles mensuelles (boîte);25.0;pc;boîte;produit
optics;fr;Lentilles journalières (30);28.0;pc;boîte;produit
optics;fr;Lentilles toriques;35.0;pc;boîte;produit
optics;fr;Lentilles multifocales;45.0;pc;boîte;produit
optics;fr;Solution multifonctions;12.0;pc;flacon;produit
optics;fr;Solution peroxyde;15.0;pc;flacon;produit
optics;fr;Étui à lunettes;12.0;pc;étui;produit
optics;fr;Chiffon microfibre;3.5;pc;pièce;produit
optics;fr;Spray nettoyant;8.0;pc;flacon;produit
optics;fr;Cordon lunettes;6.0;pc;pièce;produit
optics;fr;Loupe éclairante;25.0;pc;loupe;produit
optics;fr;Jumelles;85.0;pc;pièce;produit
optics;fr;Télescope amateur;199.0;pc;télescope;produit
optics;fr;Microscope;149.0;pc;microscope;produit
optics;fr;Loupe bijoutier;35.0;pc;loupe;produit
optics;fr;Examen de vue;35.0;pc;examen;service
optics;fr;Adaptation lentilles;45.0;pc;service;service
optics;fr;Réparation lunettes;25.0;pc;forfait;service
optics;fr;Ajustage monture;15.0;pc;service;service
optics;fr;Vérification vue annuelle;25.0;pc;examen;service
optics;fr;Conseil basse vision;55.0;pc;consultation;service
telecom;fr;Smartphone entrée de gamme;199.0;pc;smartphone;produit
telecom;fr;Smartphone milieu de gamme;449.0;pc;smartphone;produit
telecom;fr;Smartphone haut de gamme;899.0;pc;smartphone;produit
telecom;fr;Tablette 10 pouces;329.0;pc;tablette;produit
telecom;fr;Tablette pro;649.0;pc;tablette;produit
telecom;fr;Routeur WiFi 6;149.0;pc;routeur;produit
telecom;fr;Répéteur WiFi;55.0;pc;répéteur;produit
telecom;fr;Switch réseau 8 ports;45.0;pc;switch;produit
telecom;fr;Câble Ethernet 10m;12.0;pc;câble;produit
telecom;fr;Câble Ethernet 25m;22.0;pc;câble;produit
telecom;fr;Coque téléphone;15.0;pc;accessoire;produit
telecom;fr;Verre trempé;12.0;pc;protection;produit
telecom;fr;Chargeur rapide;25.0;pc;chargeur;produit
telecom;fr;Powerbank 10000mAh;29.0;pc;batterie;produit
telecom;fr;Powerbank 20000mAh;45.0;pc;batterie;produit
telecom;fr;Support voiture;18.0;pc;support;produit
telecom;fr;Écouteurs filaires;25.0;pc;écouteurs;produit
telecom;fr;Écouteurs sans fil;89.0;pc;écouteurs;produit
telecom;fr;Coque étanche;35.0;pc;accessoire;produit
telecom;fr;Carte SIM prépayée;10.0;pc;carte;produit
telecom;fr;Forfait mobile 5Go;15.0;mois;mois;service
telecom;fr;Forfait mobile 20Go;25.0;mois;mois;service
telecom;fr;Forfait mobile illimité;35.0;mois;mois;service
telecom;fr;Box internet;45.0;mois;mois;service
telecom;fr;Box internet + TV;55.0;mois;mois;service
telecom;fr;Ligne fixe illimité;25.0;mois;mois;service
telecom;fr;Déblocage téléphone;35.0;pc;service;service
telecom;fr;Réparation écran;120.0;pc;service;service
telecom;fr;Récupération données;85.0;pc;service;service
telecom;fr;Configuration appareil;35.0;pc;service;service
real_estate;fr;Honoraires location;350.0;pc;forfait;service
real_estate;fr;Honoraires vente (calcul %);4500.0;pc;forfait;service
real_estate;fr;Estimation immobilière;150.0;pc;expertise;service
real_estate;fr;Diagnostic énergétique;180.0;pc;diagnostic;service
real_estate;fr;Diagnostic électricité;120.0;pc;diagnostic;service
real_estate;fr;Diagnostic gaz;95.0;pc;diagnostic;service
real_estate;fr;Diagnostic assainissement;85.0;pc;diagnostic;service
real_estate;fr;Diagnostic termites;75.0;pc;diagnostic;service
real_estate;fr;Diagnostic plomb;90.0;pc;diagnostic;service
real_estate;fr;Diagnostic amiante;110.0;pc;diagnostic;service
real_estate;fr;État des lieux entrée;120.0;pc;état;service
real_estate;fr;État des lieux sortie;120.0;pc;état;service
real_estate;fr;Rédaction bail;85.0;pc;document;service
real_estate;fr;Gestion locative mensuelle;45.0;mois;mois;service
real_estate;fr;Chasseur immobilier;2500.0;pc;forfait;service
real_estate;fr;Conseil investissement;180.0;h;heure;service
real_estate;fr;Négociation prêt;450.0;pc;forfait;service
real_estate;fr;Courtage assurance emprunteur;250.0;pc;forfait;service
real_estate;fr;Gestion copropriété;25.0;mois;mois;service
real_estate;fr;Assemblée générale;350.0;pc;réunion;service
real_estate;fr;Syndic simple;15.0;mois;mois;service
real_estate;fr;Conciergerie;150.0;mois;mois;service
real_estate;fr;Home staging;450.0;pc;forfait;service
real_estate;fr;Photographie immobilière;180.0;pc;service;service
real_estate;fr;Visite virtuelle 3D;350.0;pc;service;service
real_estate;fr;Plan de masse;280.0;pc;document;service
real_estate;fr;Rédaction compromis;350.0;pc;document;service
real_estate;fr;Acte notarié (accompagnement);250.0;pc;service;service
real_estate;fr;Dossier location étudiant;95.0;pc;dossier;service
marketing;fr;Création logo;450.0;pc;forfait;service
marketing;fr;Charte graphique;850.0;pc;forfait;service
marketing;fr;Refonte site web;2500.0;pc;forfait;service
marketing;fr;Site web vitrine;1200.0;pc;forfait;service
marketing;fr;Site e-commerce;4500.0;pc;forfait;service
marketing;fr;Campagne Google Ads (setup);650.0;pc;forfait;service
marketing;fr;Campagne Facebook Ads (setup);550.0;pc;forfait;service
marketing;fr;Gestion réseaux sociaux (mois);450.0;mois;mois;service
marketing;fr;Création contenu (post);85.0;pc;post;service
marketing;fr;Shooting photo produit;350.0;h;heure;service
marketing;fr;Vidéo promotionnelle;1200.0;pc;vidéo;service
marketing;fr;Motion design;850.0;pc;vidéo;service
marketing;fr;Brochure A4 (design);180.0;pc;page;service
marketing;fr;Flyer A5;95.0;pc;design;service
marketing;fr;Carte de visite (design);65.0;pc;design;service
marketing;fr;Papeterie de bureau;350.0;pc;pack;service
marketing;fr;Roll-up;120.0;pc;impression;service
marketing;fr;Kakémono;95.0;pc;impression;service
marketing;fr;Lettre de vente;180.0;pc;document;service
marketing;fr;Copywriting web;120.0;pc;page;service
marketing;fr;SEO (audit);650.0;pc;audit;service
marketing;fr;SEO (optimisation mensuelle);450.0;mois;mois;service
marketing;fr;Newsletter (création);150.0;pc;email;service
marketing;fr;Community management;350.0;mois;mois;service
marketing;fr;Influenceur (micro);250.0;pc;collaboration;service
marketing;fr;Influenceur (macro);850.0;pc;collaboration;service
marketing;fr;Étude de marché digitale;1800.0;pc;étude;service
marketing;fr;Benchmark concurrentiel;650.0;pc;analyse;service
marketing;fr;Stratégie marketing annuelle;3500.0;pc;stratégie;service
accounting;fr;Tenue comptabilité mensuelle;150.0;mois;mois;service
accounting;fr;Tenue comptabilité trimestrielle;350.0;pc;trimestre;service
accounting;fr;Bilan annuel;850.0;pc;bilan;service
accounting;fr;Déclaration TVA mensuelle;65.0;pc;déclaration;service
accounting;fr;Déclaration TVA trimestrielle;95.0;pc;déclaration;service
accounting;fr;Déclaration TVA annuelle;180.0;pc;déclaration;service
accounting;fr;Déclaration ISOC;450.0;pc;déclaration;service
accounting;fr;Déclaration IPP;120.0;pc;déclaration;service
accounting;fr;Intrastat;85.0;pc;déclaration;service
accounting;fr;Listing intracommunautaire;65.0;pc;listing;service
accounting;fr;Audit comptable;120.0;h;heure;service
accounting;fr;Conseil fiscal;150.0;h;heure;service
accounting;fr;Optimisation fiscale;250.0;h;heure;service
accounting;fr;Création société;650.0;pc;forfait;service
accounting;fr;Modification statuts;350.0;pc;forfait;service
accounting;fr;Dissolution société;450.0;pc;forfait;service
accounting;fr;Contrôle TVA (accompagnement);180.0;h;heure;service
accounting;fr;Recours administratif;250.0;pc;recours;service
accounting;fr;Simulation fiscale;180.0;pc;simulation;service
accounting;fr;Récupération TVA étranger;150.0;pc;dossier;service
accounting;fr;Reporting mensuel;180.0;pc;rapport;service
accounting;fr;Budget prévisionnel;350.0;pc;document;service
accounting;fr;Business plan;650.0;pc;document;service
accounting;fr;Due diligence;150.0;h;heure;service
accounting;fr;Valorisation entreprise;850.0;pc;valuation;service
accounting;fr;Transmission PME;2500.0;pc;forfait;service
accounting;fr;Accompagnement startup;450.0;mois;mois;service
accounting;fr;Formation comptabilité;150.0;h;heure;service
accounting;fr;Mise en place logiciel;350.0;pc;forfait;service
accounting;fr;Assistance comptable;85.0;h;heure;service
security;fr;Système alarme résidentiel;450.0;pc;pack;produit
security;fr;Système alarme professionnel;1200.0;pc;pack;produit
security;fr;Caméra IP extérieure;189.0;pc;caméra;produit
security;fr;Caméra IP intérieure;95.0;pc;caméra;produit
security;fr;DVR 8 canaux;280.0;pc;enregistreur;produit
security;fr;DVR 16 canaux;450.0;pc;enregistreur;produit
security;fr;Détecteur mouvement;45.0;pc;détecteur;produit
security;fr;Détecteur ouverture;25.0;pc;détecteur;produit
security;fr;Détecteur fumée;35.0;pc;détecteur;produit
